Kode_Bahan,Nama_Bahan,Kelompok_Pangan,Jenis_Pangan,Air(g),Energi(Kal),Protein(g),Lemak(g),KH(g),Serat(g),Kalsium(g),Fosfor(g),Besi(g),Natrium(g),Kalium(g),Tembaga(g),Thiamin(g),Riboflavin(g),VITC(g)
DR004,"Andewi, segar",D,R,91.8,226,1.6,0.2,5.3,4.1,0.033,0.066,0.001,0.029,0.4146,0.0001,0.0001,0.0001,0.01
DR005,"Bakung, segar",D,R,92.5,27,2,0.2,4.2,3.8,0.019,0.02,0.0005,0.037,0.34,0.0002,0.0002,0.0001,0.042
DR006,"Baligo, segar",D,R,96.1,15,0.4,0.2,3,0.4,0.019,0.019,0.0004,0.002,0.1311,0,0,0,0.013
DR007,"Bawang bombay, segar",D,R,87.5,43,1.4,0.2,10.3,2,0.032,0.044,0.0005,0.012,0.0096,0.0001,0,0.0002,0.009
DR008,"Bayam, segar",D,R,94.5,16,0.9,0.4,2.9,0.7,0.166,0.076,0.0035,0.016,0.4564,0.0001,0,0.0001,0.041
DR009,"Bayam merah, segar",D,R,88.5,41,2.2,0.8,6.3,2.2,0.52,0.08,0.007,0.02,0.06,0.0002,0.0002,0.0001,0.062
DR010,"Bit, segar",D,R,87.6,41,1.6,0.1,9.6,2.6,0.027,0.043,0.001,0.029,0.4049,0.0002,0,0.0001,0.01
DR011,Buah kelor,D,R,89.5,38,1.5,0.2,7.5,3.2,0.03,0.054,0,0.048,0.216,0,0.0001,0.0001,0.025
DR012,Buah merah,D,R,81.2,87,2.6,2.7,13.1,4,0.03,0.001,0.0011,0.11,0.14,0.0001,0.0015,0.0001,0.015
DR013,"Buncis, segar",D,R,89.6,34,2.4,0.3,7.2,1.9,0.101,0.042,0.0007,0.008,0.25,0.0001,0.0001,0.0004,0.011
DR014,"Bunga pepaya, segar",D,R,87.3,45,2.6,0.3,8.1,1.6,0.29,0.113,0.0042,0.002,0.4783,0.0001,0,0.0003,0.023
DR015,"Bunga turi, segar",D,R,90.4,42,2,1.1,6.1,3.3,0.028,0.023,0.0008,0.029,0.0974,0.0001,0.0005,0,0.001
DR016,"Caisin, segar",D,R,93.6,20,1.7,0.4,3.4,1.2,0.123,0.04,0.0019,0.018,0.3582,0.0001,0,0.0002,0.003
DR017,"Daun bangun-bangun, segar",D,R,92.5,27,1.3,0.6,4,1,0.279,0.04,0.0136,0.004,0.144,0,0.0002,0.0001,0.005
DR018,"Daun bawang merah, segar",D,R,89.1,41,2,0.3,7.8,2.1,0.06,0.04,0.0023,0.03,0.09,0.0001,0.0001,0.0001,0.011
DR019,"Daun bebuas, segar",D,R,87.9,41,2.7,1,7.3,2.1,0.029,0.245,0.0015,0,0,0,0,0,0.003
DR020,"Daun belem, segar",D,R,84.6,50,4.4,1.4,7.8,1.9,0.698,0.151,0.0075,0,0,0,0.0001,0,0.021
DR021,"Daun bluntas, segar",D,R,86,44,1.8,0.5,9.4,0,0.256,0.049,0.0056,0,0,0,0,0,0.03
DR022,"Daun gandaria, segar",D,R,81,63,3.1,0.3,14,2.1,0.04,0.045,0.0047,0.003,0.1277,0,0,0,0.061
DR023,"Daun gedi besar, segar",D,R,84,58,2.9,0.7,10,3.3,0.44,0.1,0.0019,0.03,0.04,0.0002,0.0004,0.0005,0.011
DR024,"Daun gedi kecil, segar",D,R,83.7,61,3.2,0.7,10.4,3.4,0.42,0.07,0.0017,0.02,0.05,0.0001,0.0004,0.0003,0.011
DR025,"Daun gelang, segar",D,R,90.3,30,1.3,0.7,5.8,1.3,0.35,0.21,0.0119,0.005,0.3333,0.0003,0,0.0001,0.001
DR026,"Daun gunda bali, segar",D,R,86.4,50,4.6,0.9,7,1.4,0.167,0.062,0.0005,0,0,0,0.0001,0,0.02
DR027,"Daun gunda serang, segar",D,R,84.6,62,4.2,0.9,9.2,1.3,0.171,0.064,0.0006,0,0,0,0,0,0.02
DR028,"Daun jambu mete muda, segar",D,R,78,78,4.6,0.5,16.2,3,0.033,0.064,0.0089,0.014,0.6705,0,0,0.0011,0.065
DR029,"Daun jampang, segar",D,R,88.9,34,3.8,0.5,5.3,1.4,0.021,0.245,0.001,0,0,0,0,0,0.003
DR030,"Daun jawaw seluang, segar",D,R,77.2,93,5,1.3,15.3,3.9,0.146,0.103,0.0053,0.002,0.434,0.0005,0.0001,0.0007,0.009
DR031,"Daun jonghe, segar",D,R,91.4,27,2.1,0.7,4.4,2,0.253,0.192,0.0095,0,0,0,0,0,0.001
DR032,"Daun kacang ma, segar",D,R,89.1,36,2.9,0.6,6.8,1.8,0.064,0.22,0.0022,0.007,0.4853,0.0002,0,0.0002,0.004
DR033,"Daun kacang panjang, segar",D,R,89.7,30,3.1,0.3,5.8,1.7,0.2,0.066,0.0045,0.007,0.4586,0.0002,0.0003,0.0002,0.03
DR034,"Daun kasbi/singkong karet ,segar",D,R,80.3,92,4,3.6,10.9,5.8,0.14,0.07,0.0016,0.07,0.09,0.0003,0.0001,0.0002,0.074
DR035,"Daun katuk, segar",D,R,81,59,6.4,1,9.9,1.5,0.233,0.098,0.0035,0.021,0.4788,0.0003,0,0.0003,0.016
DR036,"Daun kecipir, segar",D,R,85,52,5,0.5,8.5,0,0.134,0.081,0.0062,0.006,0.114,0.0003,0.0003,0.0004,0.029
DR037,"Daun kedondong, segar",D,R,81,59,3.5,0.3,13.4,10.7,0.54,0.082,0.0062,0.012,0.579,0,0.0001,0.0002,0.029
DR038,"Daun kelor, segar",D,R,75.5,92,5.1,1.6,14.3,8.2,1.077,0.076,0.006,0.061,0.298,0.0001,0.0003,0.0001,0.022
DR039,"Daun kemang, segar",D,R,85,43,5.5,0.3,7.5,8.4,0.035,0.106,0.001,0.01,0.4571,0,0.0001,0.0001,0.03
DR040,"Daun kenikir, segar",D,R,87.6,45,3.7,0.5,6.6,5.8,0.328,0.065,0.0027,0.006,0.431,0.0001,0.0005,0.0003,0
DR041,"Daun kesum, segar",D,R,84.8,48,4.5,0.8,9.1,1.6,0.125,0.142,0.0026,0.011,0.1747,0.0004,0,0.0001,0.004
DR042,"Daun kol sawi, segar",D,R,93.1,22,2.1,0.5,3.6,0.9,0.2,0.092,0.0032,0.019,0.3862,0.0001,0,0.0002,0.003
DR043,"Daun koro, segar",D,R,91,23,3,0.3,3.7,0,0.134,0.081,0.0062,0.004,0.0684,0.0002,0.0003,0.0002,0.029
DR044,"Daun kubis, segar",D,R,86.2,51,2.5,1.1,8,3.4,0.1,0.05,0.0034,0.05,0.1,0.0009,0.0004,0.0001,0.016
DR045,"Daun kumak, segar",D,R,95.2,14,1.3,0.3,2.3,0.9,0.09,0.059,0.0027,0.002,0.0365,0.0001,0,0,0.003
DR046,"Daun labu siam, segar",D,R,89.7,34,4,0.4,4.7,3.5,0.058,0.07,0.0025,0.016,0.6307,0.0002,0.0001,0.0004,0.016
DR047,"Daun labu waluh/kuning, segar",D,R,89.7,34,3.6,0.6,4.5,2.9,0.138,0.099,0.0037,0.016,0.6307,0.0002,0.0001,0.0002,0.036
DR048,"Daun lamtoro, segar",D,R,74,87,8.3,1.8,14.4,3.3,0.725,0.174,0.0039,0.01,0.1977,0.0005,0,0.0001,0.032
DR049,"Daun leilem, segar",D,R,79.4,76,2.8,0.2,15.8,3.1,0.296,0.022,0.0034,0.006,0.046,0.0005,0.0003,0.0001,0.022
DR050,"Daun leunca, segar",D,R,85,49,4.7,0.5,8.1,0,0.21,0.08,0.0061,0,0,0,0.0001,0,0.04
DR051,"Daun lobak, segar",D,R,90,30,2.3,0.4,5.8,3.2,0.14,0.033,0.0037,0.016,0.7474,0.0002,0.0001,0.0011,0.01
DR052,"Daun lompong talas, segar",D,R,87.2,44,3,0.8,7.4,3.3,0.076,0.059,0.001,0.003,0.5784,0.0002,0.0001,0.0004,0.031
DR053,"Daun mangkokan, segar",D,R,82,57,3.7,0.3,11.8,0,0.474,0.049,0.004,0,0,0,0.0001,0,0.083
DR054,"Daun matel ambon, segar",D,R,77.1,71,6.8,1.6,11.5,4.6,0.093,0.095,0.0102,0,0,0,0.0001,0,0.026
DR055,"Daun melinjo, segar",D,R,70.8,104,5,1.3,21.3,10.3,0.219,0.082,0.0042,0.012,0.6048,0.0004,0.0001,0,0.018
DR056,"Daun mengkudu, segar",D,R,80.9,65,4,1.7,11.4,3.9,0.296,0.04,0.0069,0,0,0,0,0.0001,0.035
DR057,"Daun ndusuk, segar",D,R,56,166,1.7,0.5,38.8,10.7,0.04,0.02,0.0018,0.04,0.31,0.0002,0.0004,0.0001,0.03
DR058,"Daun oyong, segar",D,R,93,22,1,0.1,5.3,2,0.021,0.044,0.002,0.04,0.2955,0.0001,0.0001,0.0001,0.015
DR059,"Daun pakis, segar",D,R,86.8,39,4.5,0.4,6.9,2,0.136,0.159,0.0023,0.02,0.2019,0.0002,0,0.0001,0.003
DR060,"Daun pakis longgiho, segar",D,R,89.5,54,2.2,3.6,3.1,2.1,0.04,0.08,0.0007,0.07,0.5,0.0004,0.0004,0.0003,0.008
DR061,"Daun pakis wambateu, segar",D,R,86.9,53,3.4,1.2,7.2,4.8,0.03,0.1,0.0003,0.02,0.2,0.0002,0.0007,0.0002,0.006
DR062,"Daun paku, segar",D,R,88.8,29,3.4,0.1,6.5,4.3,0.013,0.088,0.0013,0.019,0.434,0.0005,0.0002,0.0001,0.01
DR063,"Daun pangi,segar",D,R,76.1,104,3.9,0.6,17.9,8.3,0.256,0.022,0.0018,0.004,0.266,0.0017,0.0004,0.0001,0.023
DR064,"Daun pare, segar",D,R,87.3,49,2.7,1,8.4,3,0.217,0.07,0.0033,0.007,0.498,0.0004,0.0004,0.0002,0.007
DR065,"Daun pepaya, segar",D,R,75.4,87,8,2,11.9,1.5,0.353,0.063,0.0008,0.004,0.9266,0.0002,0.0002,0.0005,0.014
DR066,"Daun pohpohan, segar",D,R,87.4,37,2.5,0.8,6.9,2.6,0.744,0.08,0.0059,0,0,0,0,0,0.005
DR067,"Daun selasih, segar",D,R,83.1,62,4,0.5,10.5,5.3,0.122,0.016,0.0139,0.003,0.259,0.0004,0.0005,0.0001,0.024
DR068,"Daun semanggi, segar",D,R,84.7,45,4.4,0.5,8.5,1.9,0.098,0.09,0.007,0.064,0.5207,0.0005,0,0.0005,0.006
DR069,"Daun simpur, segar",D,R,86.2,53,3.2,2.5,7.6,1.6,0.228,0.194,0.0035,0,0,0,0,0,0.005
DR070,"Daun singkil, segar",D,R,80.9,68,2,1,15.2,3.3,0.178,0.086,0.0021,0,0,0,0,0,0.003
DR071,"Daun singkong, segar",D,R,84.4,50,6.2,1.1,7.1,2.4,0.166,0.099,0.0013,0.017,0.0231,0.0001,0,0.0001,0.01
DR072,"Daun singkong ambon, segar",D,R,58,144,12.7,1.2,25.2,10.2,0.165,0.054,0.0039,0.044,0.0622,0.0002,0.0002,0.001,0.022
DR073,"Daun singkong ampenan, segar",D,R,84.4,50,6.2,1.1,7.1,2.4,0.352,0.123,0.0027,0.049,0.57,0.0002,0.0005,0.0001,0.01
DR074,"Daun singkong kopang, segar",D,R,81.1,74,6.3,0.7,10.7,4.6,0.142,0.115,0.0017,0.032,0.382,0.0002,0.0005,0.0005,0.021
DR075,"Daun sintrong, segar",D,R,88.5,36,2.6,0.9,6.1,1.7,0.398,0.095,0.0093,0.064,0.4444,0.0001,0,0.0002,0.003
DR076,"Daun talas, segar",D,R,81.1,59,3,0.4,13.5,3,0.236,0.05,0.0024,0.004,0.8541,0.0004,0.0001,0.0006,0.024
DR077,"Daun tespong, segar",D,R,81,70,2.9,0.3,13.9,2.3,0.155,0.065,0.0025,0.072,0,0.0002,0.0001,0.0007,0.021
DR078,"Daun ubi kuning, segar",D,R,83.5,62,3.7,0.3,11.1,6.4,0.17,0.04,0.0006,0.01,0,0.0002,0.0003,0.0003,0.004
DR079,"Daun ubi merah, segar",D,R,84.4,48,3,0.3,10.8,1.4,0.08,0.081,0.0064,0.033,0.5173,0,0.0001,0.0002,0.027
DR080,"Daun ubi putih, segar",D,R,87.5,46,2.8,0.2,8.2,4.8,0.12,0.05,0.0008,0.01,0,0.0002,0.0003,0.0003,0.008
DR081,"Daun ubi tinta, segar",D,R,85.1,55,1.7,0.1,11.9,7.6,0.12,0.04,0.0006,0.01,0,0.0002,0.0002,0,0.007
DR082,"Eceng, segar",D,R,93,19,1,0.2,3.8,1.8,0.08,0.045,0.0037,0.045,0.6341,0,0.0001,0.0001,0.05
DR083,"Gambas (oyong), segar",D,R,94.5,19,0.8,0.2,4.1,1.3,0.019,0.033,0.0009,0.023,0.1091,0,0,0,0.008
DR084,"Genjer, segar",D,R,90,35,1.7,0.2,7.7,2.5,0.062,0.033,0.0021,0.064,0.9058,0,0.0001,0.0001,0.054
DR085,"Jagung muda / semi, segar",D,R,89.5,35,2.2,0.1,7.4,1.9,0.007,0.1,0.0005,0.353,0.2302,0.0001,0.0001,0.0002,0.008
DR086,Jamur encik,D,R,24.8,296,9.4,1.1,62,0,0.005,0.277,0.0053,0.002,0,0.0002,0.0011,0.0001,0
DR087,"Jamur kuping, kering",D,R,14.9,294,16,0.9,64.6,46.5,0.051,0.223,0.0067,0.174,0.7261,0.0003,0.0001,0.0006,0
DR088,"Jamur kuping, segar",D,R,93.7,21,3.8,0.6,0.9,5.1,0.003,0.094,0.0017,0.017,0.0334,0.0002,0.0001,0.0001,0.005
DR089,"Jamur merang, segar",D,R,91.5,30,3.5,0.2,4,2.4,0.014,0.117,0.001,0.006,0.3,0.0003,0,0.0002,0
DR090,"Jamur tiram, segar",D,R,92.5,30,1.9,0.1,5.5,3.6,0.009,0.083,0.0007,0.022,0.226,0,0.0003,0.0002,0
DR091,Jamur sagu,D,R,91.3,48,1.9,3.2,2.8,1,0.01,0.09,0.0006,0.1,0.44,0.0006,0.0002,0.0002,0
DR092,"Jantung pisang, segar",D,R,90.2,32,1.2,0.3,7.1,3.2,0.03,0.05,0.0001,0.003,0.524,0.0001,0.0001,0,0.01
DR093,"Jengkol, segar",D,R,52.7,192,5.4,0.3,40.7,1.5,0.004,0.15,0.0007,0.06,0.241,0.0003,0.0001,0.0002,0.031
DR094,"Jotang, segar",D,R,89,34,1.9,0.3,7.1,3.5,0.162,0.041,0.004,0.059,0.3885,0.0003,0,0,0.02
DR095,"Kabau, segar",D,R,67.2,130,6.7,0.3,25.2,2.9,0.004,0.204,0.0005,0.001,0.3978,0.0002,0.0008,0.0001,0.016
DR096,"Kacang mekah, polong, segar",D,R,93.6,22,1.1,1,3.4,1.1,0.063,0.296,0.001,0.002,0.0692,0.0003,0,0,0
DR097,"Kacang panjang, segar",D,R,91.8,31,2.3,0.1,5.3,2.7,0.06,0.064,0.0006,0.03,0.213,0.0001,0.0007,0.0001,0.046
DR098,Kacang ranti polong,D,R,88.5,37,3.1,0.2,7.9,2.5,0.103,0.126,0.0008,0,0,0,0,0,0.006
DR099,"Kalakai, segar",D,R,89.9,38,2.4,0.2,6.6,5.8,0.018,0.09,0.0011,0.007,0.443,0.0004,0.0003,0.0001,0.008
DR100,"Kangkung, segar",D,R,91,28,3.4,0.7,3.9,2,0.067,0.054,0.0023,0.065,0.2501,0.0001,0.0001,0.0004,0.017
DR101,Kangkung tondano,D,R,88.5,43,1.8,0.2,8.4,4.3,0.072,0.009,0.0007,0.03,0.361,0.0003,0.0008,0.0001,0.023
DR102,"Kapri muda, segar",D,R,86.8,45,3.3,0.2,9,1.8,0.051,0.085,0.001,0.002,0.1184,0.0001,0.0002,0.0001,0.049
DR103,Karawila,D,R,93.7,25,2.3,0.2,3.5,2.1,0.025,0.067,0.0003,0.008,0.0884,0.0001,0.0001,0.0001,0.039
DR104,"Kecipir muda, segar",D,R,90.4,32,2.9,0.2,5.8,5.5,0.063,0.037,0.0003,0.003,0.1038,0.0002,0.0002,0.0001,0.019
DR105,"Kecombrang, segar",D,R,90,34,0.9,1,6.7,2.6,0.06,0.016,0.001,0.047,0.6506,0,0,0,0
DR106,"Kelawi,kluwih, segar",D,R,70,118,1.5,0.3,27.2,5,0.028,0.032,0.0009,0.002,0.5009,0.0001,0.0001,0,0.019
DR107,"Kembang turi, segar",D,R,87.4,51,1.8,0.6,9.6,5,0.023,0.029,0.0009,0.022,0.2753,0.0002,0.0001,0.0001,0.041
DR108,"Kerokot, segar",D,R,93,26,1.7,0.4,3.8,1,0.103,0.039,0.0036,0.004,0.2405,0.0002,0,0.0001,0.025
DR109,"Ketimun, segar",D,R,97.9,8,0.2,0.2,1.4,0.3,0.029,0.095,0.0008,0.002,0.0571,0,0,0,0.001
DR110,"Ketimun krai, segar",D,R,96.8,10,0.5,0.2,2,0.6,0.02,0.098,0.001,0.01,0.0821,0,0,0,0.003
DR111,"Ketimun madura, segar",D,R,97.1,9,0.5,0.1,1.9,0.7,0.015,0.102,0.0006,0.002,0.0789,0,0,0,0.005
DR112,"Komak, segar",D,R,74.3,99,3.3,0.1,21.2,10.3,0.05,0.099,0.0131,0.015,0.567,0.0002,0.0002,0.0002,0
DR113,Kool kembang,D,R,91.7,25,2.4,0.2,4.9,1.6,0.022,0.072,0.0011,0.047,0.187,0,0.0001,0.0001,0.069
DR114,"Kool merah,kool putih",D,R,92.4,29,1.4,0.2,5.3,1.9,0.046,0.031,0.0005,0.028,0.2368,0.0003,0.0001,0.0001,0.05
DR115,"Koro kerupuk, polong",D,R,67.2,128,8.3,0.7,22.1,0,0.017,0.012,0.0027,0,0,0,0.0001,0,0.031
DR116,"Koro wedus, polong",D,R,88,46,3,0.3,7.9,3.3,0.056,0.047,0.0011,0.002,0.2493,0.0001,0.0001,0.0001,0.017
DR117,"Kucai, segar",D,R,86.3,45,2.2,0.3,10.3,4.8,0.052,0.05,0.0011,0.021,0.4395,0.0001,0.0001,0.0002,0.017
DR118,"Kucai muda (Lokio), segar",D,R,86,42,3.8,0.6,7.8,4.9,0.076,0.091,0.0025,0.022,0.4491,0.0001,0.0001,0.0002,0.059
DR119,Kulit melinjo,D,R,71.9,111,4.5,1.1,20.7,5,0.117,0.179,0.0026,0,0,0,0.0001,0,0.007
DR120,"Kundur, segar",D,R,94,22,0.4,0.2,4.7,1.3,0.003,0.054,0.0005,0.002,0.2,0.0001,0.0001,0,0.001
DR121,"Labu air, segar",D,R,95,19,0.6,0.2,3.8,0.6,0.012,0.018,0.0006,0.002,0.1682,0,0,0,0.01
DR122,"Labu kuning, segar",D,R,86.6,51,1.7,0.5,10,2.7,0.04,0.18,0.0007,0.28,0.22,0.0004,0.0002,0,0.002
DR123,"Labu siam, segar",D,R,92.3,30,0.6,0.1,6.7,6.2,0.014,0.025,0.0005,0.003,0.1671,0.0002,0,0,0.018
DR124,"Labu waluh, segar",D,R,91.2,32,1.1,0.1,6.6,0.5,0.045,0.064,0.0014,0.001,0.3562,0.0001,0.0001,0.0001,0.052
DR125,"Lantar, segar",D,R,91.2,34,2.2,0.3,5.5,2.9,0.01,0.058,0.0004,0.003,0.155,0.0002,0.0003,0.0001,0.004
DR126,"Lobak, segar",D,R,94.1,21,0.9,0.1,4.2,1.4,0.035,0.026,0.0006,0.049,0.1093,0,0,0,0.032
DR127,"Lumai/Leunca, segar",D,R,90.5,38,1.1,0.3,7.6,2,0.007,0.055,0.001,0.002,0,0.0001,0.0002,0.0001,0.017
DR128,"Melinjo, segar",D,R,80,66,5,0.7,13.3,0,0.163,0.075,0.0028,0,0,0,0.0001,0,0.01
DR129,Mostarda metan -sawi,D,R,91.4,33,2.3,0.5,4.7,1.8,0.06,0.03,0.0031,0.02,0.1,0.0001,0.0002,0.0001,0.012
DR130,"Nangka muda, segar",D,R,85.4,57,2,0.4,11.3,8.3,0.045,0.029,0.0005,0.001,0.2465,0,0.0001,0.0001,0.009
DR131,"Paria putih, segar",D,R,94.4,19,1,0.4,3.6,1.3,0.031,0.065,0.0009,0.005,0.2777,0,0.0002,0,0.058
DR132,"Pepare ular, segar",D,R,95.1,19,0.6,0.1,3.9,1,0.02,0.01,0.0004,0.13,0.03,0.0001,0.0001,0.0001,0.009
DR133,"Pepaya muda, segar",D,R,92.3,29,2.1,0.1,4.9,2.1,0.05,0.016,0.0004,0.022,0.2112,0,0,0,0.019
DR134,"Petai, segar",D,R,77.2,92,5.4,1.1,15.2,2,0.014,0.17,0.0016,0.055,0.221,0.0002,0.0008,0.0001,0.034
DR135,"Peterseli, segar",D,R,83.9,53,3.7,1,9,0,0.193,0.084,0.0043,0.018,1.125,0.0002,0.0001,0.0003,0.019
DR136,"Pucuk lumai/daun leunca, segar",D,R,91,33,4.5,0.4,2.8,0,0.013,0.075,0.0029,0.002,0,0.0002,0.0005,0.0001,0.041
DR137,"Putri malu, segar",D,R,80.2,76,3.6,0.3,14.6,7.1,0.119,0.084,0.0033,0.001,0.631,0.0006,0.0006,0.0006,0.006
DR138,"Rebung, segar",D,R,93.3,25,0.8,0.1,5.3,9.7,0.003,0.005,0.0005,0.003,0.206,0.0001,0.0002,0.0001,0
DR139,"Rimbang, segar",D,R,80.8,75,1.6,0.6,15.8,10,0.055,0.097,0.0006,0.02,0.234,0.0004,0.0004,0.0001,0.038
DR140,Rumput laut,D,R,87,41,1.4,0.3,8.1,2.2,0.08,0.02,0.0016,0.25,0.38,0.0002,0.0002,0,0.007
DR141,"Sawi, segar",D,R,92.2,28,2.3,0.3,4,2.5,0.22,0.038,0.0029,0.022,0.4365,0.0001,0.0001,0.0002,0.01
DR142,"Sawi putih / pecai, segar",D,R,96.6,9,1,0.1,1.7,0.8,0.056,0.042,0.0011,0.005,0.1931,0.0001,0.0001,0.0002,0.003
DR143,"Sawi taiwan, segar",D,R,91.8,30,1.9,0.5,4.4,2.7,0.1,0.058,0.0016,0.027,0.217,0.0001,0.0002,0.0001,0.033
DR144,"Sawi tanah, segar",D,R,94.9,19,1.3,0.2,2.9,2.2,0.092,0.045,0.0012,0.017,0.145,0.0001,0.0002,0.0001,0.036
DR145,"Selada, segar",D,R,94.8,18,1.2,0.2,2.9,1.8,0.022,0.025,0.0005,0.019,0.1864,0,0,0.0001,0.008
DR146,"Selada air, segar",D,R,93.3,17,3.1,0.2,2.2,0.7,0.095,0.152,0.0024,0.065,0.2607,0.0001,0.0001,0.0001,0.056
DR147,"Seledri, segar",D,R,93,23,1,0.1,4.6,2,0.05,0.04,0.001,0.064,0.2588,0.0001,0,0.0001,0.011
DR148,"Taoge, segar",D,R,90.4,34,3.7,1.2,4.3,1.1,0.166,0.074,0.0008,0.019,0.0933,0.0002,0.0001,0.0002,0.005
DR149,"Taoge kacang kedelai, segar",D,R,81,76,9,2.6,6.4,0.7,0.05,0.065,0.001,0.005,0.2124,0.0003,0.0002,0.0002,0.015
DR150,"Taoge kacang tunggak, segar",D,R,88,40,5,0.2,5.8,2.6,0.057,0.088,0.001,0.002,0.2268,0.0001,0.0001,0.0001,0.015
DR151,"Tebu terubuk (lilin), segar",D,R,91,30,4.6,0.4,3,0.8,0.04,0.08,0.002,0.699,0,0.0002,0.0001,0.0002,0.05
DR152,"Tekokak, segar",D,R,89,34,2,0.1,7.9,4.9,0.05,0.03,0.002,0.003,0.3333,0.0001,0.0001,0.0001,0.008
DR153,"Tekokak, kering",D,R,12.3,302,8.3,1.7,72.6,21.2,0.37,0.18,0.0222,0.009,0,1.0442,0.0004,0.0002,0
DR154,"Terong, segar",D,R,92.7,28,1.1,0.2,5.5,2.1,0.015,0.037,0.0004,0.009,0.187,0.0001,0,0,0.005
DR155,"Terong asam, segar",D,R,90.5,37,2,0.4,6.3,3.2,0.013,0.059,0.0015,0.003,0.155,0.0003,0.0002,0.0001,0.004
DR156,"Terung belanda, segar",D,R,87.3,52,2.1,1.1,8.6,1.4,0.016,0.04,0.0011,0,0,0,0.0004,0.0001,0.012
DR157,"Terung bengkulu, segar",D,R,86.6,52,1.1,0.4,11.2,3.2,0.019,0.039,0.0011,0.014,0,0.0002,0.0002,0,0.006
DR158,"Terong hintalo, segar",D,R,89.2,45,1.9,0.8,7.5,5.1,0.019,0.268,0.001,0.167,0.142,0.0006,0.0002,0.0004,0.004
DR159,Terung panjang,D,R,91.8,25,2.1,0.1,5.3,0.5,0.038,0.024,0.0007,0.009,0.0537,0.0001,0.0002,0.0001,0.008
DR160,"Tomat, air (sari), segar",D,R,94,20,1,0.2,3.5,0.4,0.007,0.015,0.0004,0.01,0.2252,0.0001,0.0001,0,0.01
DR161,"Tomat merah, segar",D,R,92.9,24,1.3,0.5,4.7,1.5,0.008,0.077,0.0006,0.01,0.1649,0.0001,0.0001,0.0001,0.034
DR162,"Tomat muda, segar",D,R,93,24,2,0.7,3.3,1.8,0.005,0.027,0.0005,0.01,0.21,0.0001,0.0001,0,0.03
DR163,"Uceng/ bunga melinjo, segar",D,R,79.5,82,5.8,1.3,11.7,4.8,0.07,0.266,0.0024,0,0,0,0.0001,0.0002,0.003
DR164,"Umbut kelapa, segar",D,R,89.3,39,2,0.2,7.2,2.5,0.057,0.049,0,0.004,0.447,0.0002,0.0001,0.0001,0.008
DR165,Umbut rotan,D,R,90.5,34,2.4,0.3,5.5,2.2,0.089,0.079,0.0013,0.008,0.552,0.0002,0.0002,0,0.009
DR166,"Wortel, segar",D,R,89.9,36,1,0.6,7.9,1,0.045,0.074,0.001,0.07,0.245,0.0001,0,0,0.018
DP001,"Bayam, kukus",D,P,90.7,30,1.3,0.7,5.8,1.2,0.239,0.035,0.0057,0.015,0.431,0.0001,0,0.0001,0.032
DP002,"Bayam ,rebus",D,P,93.5,23,1.2,0.6,3.7,1.1,0.15,0.035,0.0005,0.016,0.3084,0.0002,0,0.0001,0.019
DP003,"Buncis, rebus",D,P,90.6,30,2.2,0.2,6.4,1.5,0.107,0.047,0.0005,0.007,0.1389,0.0001,0,0.0003,0.008
DP004,"Daun kacang panjang, kukus",D,P,87.2,40,3.7,0.3,8,1.8,0.111,0.066,0.0037,0.006,0.4195,0.0002,0.0002,0.0002,0.011
DP005,"Daun katuk, rebus",D,P,83.3,53,5.3,0.9,9.1,1.2,0.185,0.102,0.0031,0.016,0.2913,0.0003,0,0.0003,0.066
DP006,"Daun kelor, rebus",D,P,80.3,61,6.1,0.9,10,0.9,0.255,0.036,0.0021,0.045,0.1812,0.0001,0.0001,0.0001,0.013
DP007,"Daun mengkudu, kukus",D,P,81.6,63,3.8,1.5,11.5,2.4,0.3,0.043,0.006,0,0,0,0.0001,0.0001,0.011
DP008,"Daun singkong, rebus",D,P,90.5,31,3.7,0.6,4.8,1.6,0.16,0.05,0.0026,0.013,0.014,0.0001,0,0.0001,0.034
DP009,"Daun talas, rebus",D,P,91.6,27,1.3,0.2,5.9,1.6,0.119,0.041,0.0014,0.003,0.5194,0.0005,0,0.0006,0.007
DP010,"Daun ubi merah, kukus",D,P,82.5,56,3.1,0.3,13,1.5,0.078,0.052,0.0043,0.028,0.4728,0.0001,0,0.0002,0.014
DP011,"Kacang panjang, kukus",D,P,88.2,39,3,0.6,7.6,1.7,0.1,0.091,0.0012,0.028,0.199,0.0001,0,0.0001,0.02
DP012,"Kacang panjang, rebus",D,P,90.9,30,2.3,0.4,5.8,1.4,0.071,0.068,0.0008,0.024,0.1145,0.0001,0,0.0001,0.015
DP013,"Kangkung, kukus",D,P,90.4,30,3.2,0.7,4.7,1.8,0.07,0.049,0.0044,0.045,0.1849,0.0001,0,0.0003,0.011
DP014,"Kangkung, rebus",D,P,93,22,2.5,0.6,3.1,1.2,0.05,0.051,0.0035,0.031,0.098,0.0001,0,0.0002,0.013
DP015,"Paria putih, kukus",D,P,95,16,0.8,0.2,3.4,1.2,0.016,0.033,0.0005,0.004,0.236,0,0.0002,0,0.035
DP016,"Selada, rebus",D,P,93.5,19,2.7,0.2,2.9,0.7,0.083,0.074,0.0014,0.024,0.1607,0.0001,0.0001,0.0002,0.027
